id,reference,date,repository,filename,comment,score,value,comment_cleaned,sentiment
5a941facb8a9f92136b6ca63,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java, Annotating a link org.junit.experimental.theories.Theory Theory} method parameter with &amp064ParametersSuppliedBy causes it to be supplied with values from the named link org.junit.experimental.theories.ParameterSupplier ParameterSupplier} when run as a theory by the link org.junit.experimental.theories.Theories Theories} runner. In addition annotations themselves can be annotated with &amp064ParametersSuppliedBy and then used similarly. ParameterSuppliedBy annotations on parameters are detected by searching up this heirarchy such that these act as syntactic sugar making <pre> &amp064ParametersSuppliedBy(Supplier.class public &amp064interface SpecialParameter  } &amp064Theory public void theoryMethod(&amp064SpecialParameter String param ... } <pre> equivalent to <pre> &amp064Theory public void theoryMethod(&amp064ParametersSuppliedBy(Supplier.class String param ... } <pre>,2.0,1,annotating link orgjunitexperimentaltheoriestheory theory method parameter ampparameterssuppliedby causes supplied values named link orgjunitexperimentaltheoriesparametersupplier parametersupplier run theory link orgjunitexperimentaltheoriestheories theories runner addition annotations annotated ampparameterssuppliedby used similarly parametersuppliedby annotations parameters detected searching heirarchy act syntactic sugar making pre ampparameterssuppliedbysupplierclass public ampinterface specialparameter amptheory theorymethodampspecialparameter string param pre equivalent pre amptheory theorymethodampparameterssuppliedbysupplierclass string param pre annotating a link orgjunitexperimentaltheoriestheory theory method parameter with ampparameterssuppliedby cause it to be supplied with value from the named link orgjunitexperimentaltheoriesparametersupplier parametersupplier when run a a theory by the link orgjunitexperimentaltheoriestheories theory runner in addition annotation themselves can be annotated with ampparameterssuppliedby and then used similarly parametersuppliedby annotation on parameter are detected by searching up this heirarchy such that these act a syntactic sugar making pre ampparameterssuppliedbysupplierclass public ampinterface specialparameter amptheory theorymethodampspecialparameter string param pre equivalent to pre amptheory theorymethodampparameterssuppliedbysupplierclass string param pre,0
5a941facb8a9f92136b6ca09,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/runner/manipulation/Filterable.java, Runners that allow filtering should implement this interface. Implement link filter(Filter} to remove tests that don't pass the filter. since 4.0,0.0,1,runners allow filtering implement interface implement link filterfilter remove tests dont pass filter since runner that allow filtering should implement this interface implement link filterfilter to remove test that dont pas the filter since,0
5a941facb8a9f92136b6ca0a,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/Before.java, When writing tests it is common to find that several tests need similar objects created before they can run. Annotating a <code>public void<code> method with <code>&amp064Before<code> causes that method to be run before the link org.junit.Test} method. The <code>&amp064Before<code> methods of superclasses will be run before those of the current class unless they are overridden in the current class. No other ordering is defined. <p> Here is a simple example <pre> public class Example List empty &amp064Before public void initialize( empty= new ArrayList( } &amp064Test public void size( ... } &amp064Test public void remove( ... } } <pre> see org.junit.BeforeClass see org.junit.After since 4.0,2.5,1,writing tests common find several tests need similar objects created run annotating codecode method codeampbeforecode causes method run link orgjunittest method codeampbeforecode methods superclasses run current class unless overridden current class ordering defined p simple example pre public class example list empty ampbefore initialize empty new arraylist amptest size amptest remove pre see orgjunitbeforeclass see orgjunitafter since when writing test it is common to find that several test need similar object created before they can run annotating a codecode method with codeampbeforecode cause that method to be run before the link orgjunittest method the codeampbeforecode method of superclass will be run before those of the current class unless they are overridden in the current class no other ordering is defined p here is a simple example pre public class example list empty ampbefore initialize empty new arraylist amptest size amptest remove pre see orgjunitbeforeclass see orgjunitafter since,0
5a941facb8a9f92136b6ca0b,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/AfterClass.java, If you allocate expensive external resources in a link org.junit.BeforeClass} method you need to release them after all the tests in the class have run. Annotating a <code>public static void<code> method with <code>&amp064AfterClass<code> causes that method to be run after all the tests in the class have been run. All <code>&amp064AfterClass<code> methods are guaranteed to run even if a link org.junit.BeforeClass} method throws an exception. The <code>&amp064AfterClass<code> methods declared in superclasses will be run after those of the current class unless they are shadowed in the current class. <p> Here is a simple example <pre> public class Example private static DatabaseConnection database &amp064BeforeClass public static void login( database= ... } &amp064Test public void something( ... } &amp064Test public void somethingElse( ... } &amp064AfterClass public static void logout( database.logout( } } <pre> see org.junit.BeforeClass see org.junit.Test since 4.0,5.0,1,allocate expensive external resources link orgjunitbeforeclass method need release tests class run annotating codepublic static voidcode method codeampafterclasscode causes method run tests class run codeampafterclasscode methods guaranteed run even link orgjunitbeforeclass method throws exception codeampafterclasscode methods declared superclasses run current class unless shadowed current class p simple example pre public class example private static databaseconnection database ampbeforeclass public static void login database amptest something amptest somethingelse ampafterclass public static void logout databaselogout pre see orgjunitbeforeclass see orgjunittest since if you allocate expensive external resource in a link orgjunitbeforeclass method you need to release them after all the test in the class have run annotating a codepublic static voidcode method with codeampafterclasscode cause that method to be run after all the test in the class have been run all codeampafterclasscode method are guaranteed to run even if a link orgjunitbeforeclass method throw an exception the codeampafterclasscode method declared in superclass will be run after those of the current class unless they are shadowed in the current class p here is a simple example pre public class example private static databaseconnection database ampbeforeclass public static void login database amptest something amptest somethingelse ampafterclass public static void logout databaselogout pre see orgjunitbeforeclass see orgjunittest since,0
5a941facb8a9f92136b6ca0c,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/AssumptionViolatedException.java, An exception class used to implement <i>assumptions<i> (state in which a given test is meaningful and should or should not be executed. A test for which an assumption fails should not generate a test case failure. see org.junit.Assume since 4.12,5.5,1,exception class used implement iassumptionsi state given test meaningful executed test assumption fails generate test case failure see orgjunitassume since an exception class used to implement iassumptionsi state in which a given test is meaningful and should or should not be executed a test for which an assumption fails should not generate a test case failure see orgjunitassume since,1
5a941facb8a9f92136b6ca0d,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/runners/model/Annotatable.java, A model element that may have annotations. since 4.12,3.0,1,model element may annotations since a model element that may have annotation since,0
5a941facb8a9f92136b6ca0e,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/runners/JUnit4.java, Aliases the current default JUnit 4 class runner for futureproofing. If future versions of JUnit change the default Runner class they will also change the definition of this class. Developers wanting to explicitly tag a class as a JUnit 4 class should use code RunWith(JUnit4.class} not for example in JUnit 4.5 code RunWith(BlockJUnit4ClassRunner.class}. This is the only way this class should be usedany extension that depends on the implementation details of this class is likely to break in future versions. since 4.5,6.5,1,aliases current default junit class runner futureproofing future versions junit change default runner class also change definition class developers wanting explicitly tag class junit class use code runwithjunitclass example junit code runwithblockjunitclassrunnerclass way class usedany extension depends implementation details class likely break future versions since alias the current default junit class runner for futureproofing if future version of junit change the default runner class they will also change the definition of this class developer wanting to explicitly tag a class a a junit class should use code runwithjunitclass not for example in junit code runwithblockjunitclassrunnerclass this is the only way this class should be usedany extension that depends on the implementation detail of this class is likely to break in future version since,0
5a941facb8a9f92136b6ca0f,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/theories/Theory.java, Marks test methods that should be read as theories by the link org.junit.experimental.theories.Theories Theories} runner. see org.junit.experimental.theories.Theories,2.5,1,marks test methods read theories link orgjunitexperimentaltheoriestheories theories runner see orgjunitexperimentaltheoriestheories mark test method that should be read a theory by the link orgjunitexperimentaltheoriestheories theory runner see orgjunitexperimentaltheoriestheories,0
5a941facb8a9f92136b6ca10,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/org/junit/Assume.java, A set of methods useful for stating assumptions about the conditions in which a test is meaningful. A failed assumption does not mean the code is broken but that the test provides no useful information. Assume basically means don't run this test if these conditions don't apply. The default JUnit runner skips tests with failing assumptions. Custom runners may behave differently. <p> A good example of using assumptions is in <a href=httpsgithub.comjunitteamjunit4wikiTheories>Theories<a> where they are needed to exclude certain datapoints that aren't suitable or allowed for a certain test case. <p> Failed assumptions are usually not logged because there may be many tests that don't apply to certain configurations. <p> These methods can be used directly <code>Assume.assumeTrue(...<code> however they read better if they are referenced through static import<br> <pre> import static org.junit.Assume. ... assumeTrue(... <pre> <p> see <a href=httpsgithub.comjunitteamjunit4wikiTheories>Theories<a> since 4.4,6.0,1,set methods useful stating assumptions conditions test meaningful failed assumption mean code broken test provides useful information assume basically means dont run test conditions dont apply default junit runner skips tests failing assumptions custom runners may behave differently p good example using assumptions hrefhttpsgithubcomjunitteamjunitwikitheoriestheoriesa needed exclude certain datapoints arent suitable allowed certain test case p failed assumptions usually logged may many tests dont apply certain configurations p methods used directly codeassumeassumetruecode however read better referenced static importbr pre import static orgjunitassume assumetrue pre p see hrefhttpsgithubcomjunitteamjunitwikitheoriestheoriesa since a set of method useful for stating assumption about the condition in which a test is meaningful a failed assumption doe not mean the code is broken but that the test provides no useful information assume basically mean dont run this test if these condition dont apply the default junit runner skip test with failing assumption custom runner may behave differently p a good example of using assumption is in a hrefhttpsgithubcomjunitteamjunitwikitheoriestheoriesa where they are needed to exclude certain datapoints that arent suitable or allowed for a certain test case p failed assumption are usually not logged because there may be many test that dont apply to certain configuration p these method can be used directly codeassumeassumetruecode however they read better if they are referenced through static importbr pre import static orgjunitassume assumetrue pre p see a hrefhttpsgithubcomjunitteamjunitwikitheoriestheoriesa since,1
5a941facb8a9f92136b6ca11,master,2018-02-21,5a932d02b8a9f956ba503603,src/main/java/junit/framework/TestFailure.java, Returns a String containing the stack trace of the error thrown by TestFailure.,3.0,1,returns string containing stack trace error thrown testfailure return a string containing the stack trace of the error thrown by testfailure,0
